Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1536364800.0,2018-09-08,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1536278400.0,2018-09-07,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1536192000.0,2018-09-06,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1536105600.0,2018-09-05,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1536019200.0,2018-09-04,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535932800.0,2018-09-03,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535846400.0,2018-09-02,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535760000.0,2018-09-01,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535673600.0,2018-08-31,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535587200.0,2018-08-30,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535500800.0,2018-08-29,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535414400.0,2018-08-28,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535328000.0,2018-08-27,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535241600.0,2018-08-26,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535155200.0,2018-08-25,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1535068800.0,2018-08-24,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534982400.0,2018-08-23,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534896000.0,2018-08-22,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534809600.0,2018-08-21,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534723200.0,2018-08-20,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534636800.0,2018-08-19,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534550400.0,2018-08-18,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534464000.0,2018-08-17,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534377600.0,2018-08-16,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534291200.0,2018-08-15,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534204800.0,2018-08-14,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534118400.0,2018-08-13,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1534032000.0,2018-08-12,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533945600.0,2018-08-11,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533859200.0,2018-08-10,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533772800.0,2018-08-09,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533686400.0,2018-08-08,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533600000.0,2018-08-07,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533513600.0,2018-08-06,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533427200.0,2018-08-05,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533340800.0,2018-08-04,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533254400.0,2018-08-03,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533168000.0,2018-08-02,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1533081600.0,2018-08-01,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532995200.0,2018-07-31,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532908800.0,2018-07-30,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532822400.0,2018-07-29,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532736000.0,2018-07-28,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532649600.0,2018-07-27,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532563200.0,2018-07-26,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532476800.0,2018-07-25,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532390400.0,2018-07-24,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532304000.0,2018-07-23,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532217600.0,2018-07-22,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532131200.0,2018-07-21,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1532044800.0,2018-07-20,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531958400.0,2018-07-19,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531872000.0,2018-07-18,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531785600.0,2018-07-17,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531699200.0,2018-07-16,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531612800.0,2018-07-15,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531526400.0,2018-07-14,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531440000.0,2018-07-13,LTCUSD,75.3,75.3,75.3,75.3,0.0,0.0
1531353600.0,2018-07-12,LTCUSD,78.21,78.21,74.21,75.3,1424.84,106927.07
1531267200.0,2018-07-11,LTCUSD,76.12,81.24,75.6,78.21,4632.75,360313.59
1531180800.0,2018-07-10,LTCUSD,80,80.5,74.73,76.12,3584.07,273951.05
1531094400.0,2018-07-09,LTCUSD,81.84,83.22,79.9,80,6743.63,549993.24
1531008000.0,2018-07-08,LTCUSD,84.58,85.45,81.84,81.84,3668.24,308997.05
1530921600.0,2018-07-07,LTCUSD,83.29,85.2,79.43,84.58,2082.33,169489.47
1530835200.0,2018-07-06,LTCUSD,83.49,84.19,80.95,83.29,1545.43,127779.22
1530748800.0,2018-07-05,LTCUSD,85.03,87,81.8,83.49,2644.97,224173.87
1530662400.0,2018-07-04,LTCUSD,85.08,89,83,85.03,1938.31,167161.88
1530576000.0,2018-07-03,LTCUSD,85.5,89.76,83.6,85.08,4347.05,377601.4
1530489600.0,2018-07-02,LTCUSD,80,87.08,78.2,85.5,5935.32,494514.48
1530403200.0,2018-07-01,LTCUSD,81.27,81.49,77.81,80,2525.09,202020.98
1530316800.0,2018-06-30,LTCUSD,78.75,83.95,78.49,81.27,5034.55,409634.24
1530230400.0,2018-06-29,LTCUSD,74.64,80.7,72.47,78.75,5637.52,424341.32
1530144000.0,2018-06-28,LTCUSD,80.72,81.33,74,74.64,5739.94,446435.62
1530057600.0,2018-06-27,LTCUSD,75.5,81.84,74.83,80.72,4201.45,326808.44
1529971200.0,2018-06-26,LTCUSD,82.18,82.3,75.41,75.5,3989.35,317765.99
1529884800.0,2018-06-25,LTCUSD,80.97,84.2,78.6,82.18,3769.92,306813.29
1529798400.0,2018-06-24,LTCUSD,82.36,83.93,72.81,80.97,7662.56,596701.37
1529712000.0,2018-06-23,LTCUSD,84.63,86.45,81.29,82.36,2319.31,193763.26
1529625600.0,2018-06-22,LTCUSD,96.74,97,80.41,84.63,8161.52,711204.13
1529539200.0,2018-06-21,LTCUSD,98.24,98.95,95.7,96.74,1760.46,171416.99
1529452800.0,2018-06-20,LTCUSD,98.66,99.22,95.2,98.24,1618.29,156768.73
1529366400.0,2018-06-19,LTCUSD,98.88,101.45,96.71,98.66,2202.55,217212.7
1529280000.0,2018-06-18,LTCUSD,94.94,99.73,93,98.88,2057.64,198541.94
1529193600.0,2018-06-17,LTCUSD,97.02,98.14,94.94,94.94,1257.1,120679.83
1529107200.0,2018-06-16,LTCUSD,95.59,97.56,93.05,97.02,3554.73,339412.98
1529020800.0,2018-06-15,LTCUSD,100.7,101.66,94.48,95.59,5005.69,491441.36
1528934400.0,2018-06-14,LTCUSD,93.37,102.53,92.5,100.7,7298.39,710471.44
1528848000.0,2018-06-13,LTCUSD,99.28,100.5,89.01,93.37,9488.97,887602.18
1528761600.0,2018-06-12,LTCUSD,106.6,107.66,97.34,99.28,6577.03,674476.92
1528675200.0,2018-06-11,LTCUSD,106.65,108.15,103,106.6,5526.27,584697.5
1528588800.0,2018-06-10,LTCUSD,118.06,118.06,102.5,106.65,11746.14,1278538.02
1528502400.0,2018-06-09,LTCUSD,120.42,121.45,117.31,118.06,1204.67,143504.72
1528416000.0,2018-06-08,LTCUSD,121.7,122,118.61,120.42,1207.23,144309.2
1528329600.0,2018-06-07,LTCUSD,121.26,123.75,119.8,121.7,1741.11,212724.43
1528243200.0,2018-06-06,LTCUSD,122,122.95,118.1,121.26,2588.82,312771.33
1528156800.0,2018-06-05,LTCUSD,119.57,123,116,122,3221.42,383067.8
1528070400.0,2018-06-04,LTCUSD,124.89,127,118,119.57,3918.45,476455.5
1527984000.0,2018-06-03,LTCUSD,123.85,128.47,122.08,124.89,4556.57,573997.64
1527897600.0,2018-06-02,LTCUSD,120,124.88,118.7,123.85,3747.43,459871.47
1527811200.0,2018-06-01,LTCUSD,118,120.41,116.75,120,2134.73,252730.01
1527724800.0,2018-05-31,LTCUSD,117.33,121,116.39,118,3534.59,420006.31
1527638400.0,2018-05-30,LTCUSD,119.55,122.6,114.5,117.33,3181.2,378564.13
1527552000.0,2018-05-29,LTCUSD,110.5,122.62,109.95,119.55,5688.76,665837.71
1527465600.0,2018-05-28,LTCUSD,117.92,118.97,110,110.5,4561.65,514891.43
1527379200.0,2018-05-27,LTCUSD,118,119.35,116.5,117.92,1781.25,208797.01
1527292800.0,2018-05-26,LTCUSD,118.73,122.72,117.01,118,2735.84,326435.88
1527206400.0,2018-05-25,LTCUSD,123.15,124,117,118.73,2911.12,351781.85
1527120000.0,2018-05-24,LTCUSD,118.95,124.9,115,123.15,4961.16,593338.87
1527033600.0,2018-05-23,LTCUSD,128.38,129.55,115.98,118.95,6262.35,763986.61
1526947200.0,2018-05-22,LTCUSD,134.2,136.3,127.51,128.38,2756.76,363910.46
1526860800.0,2018-05-21,LTCUSD,139.9,140.68,133.34,134.2,2439.69,331551.34
1526774400.0,2018-05-20,LTCUSD,135.58,140.68,132.5,139.9,2324.0,320960.86
1526688000.0,2018-05-19,LTCUSD,136.44,137.95,133.01,135.58,1839.93,249030.61
1526601600.0,2018-05-18,LTCUSD,131.72,138,128,136.44,4776.54,633811.53
1526515200.0,2018-05-17,LTCUSD,139.89,141.5,130.6,131.72,4216.35,573903.61
1526428800.0,2018-05-16,LTCUSD,139.13,141.43,133.87,139.89,4634.71,635429.85
1526342400.0,2018-05-15,LTCUSD,146.93,149.21,138,139.13,6474.41,929146.31
1526256000.0,2018-05-14,LTCUSD,144.1,153,134.12,146.93,11245.52,1613946.56
1526169600.0,2018-05-13,LTCUSD,142.16,147.7,136.47,144.1,6076.67,866806.47
1526083200.0,2018-05-12,LTCUSD,135.21,144.82,130.66,142.16,6201.11,857317.0
1525996800.0,2018-05-11,LTCUSD,147.5,149.53,132.2,135.21,16310.9,2291046.08
1525910400.0,2018-05-10,LTCUSD,157,160.95,147.5,147.5,7282.19,1118407.0
1525824000.0,2018-05-09,LTCUSD,159,160.23,151.2,157,5632.51,878359.49
1525737600.0,2018-05-08,LTCUSD,164.85,168.96,157.34,159,5210.01,840873.83
1525651200.0,2018-05-07,LTCUSD,173.29,173.5,157.82,164.85,8836.81,1448406.86
1525564800.0,2018-05-06,LTCUSD,178.11,184,165,173.29,11589.47,1997736.04
1525478400.0,2018-05-05,LTCUSD,169.25,184,168.31,178.11,16816.36,2966449.2
1525392000.0,2018-05-04,LTCUSD,161.3,171.6,157,169.25,14339.87,2358717.91
1525305600.0,2018-05-03,LTCUSD,151.93,164.82,150.25,161.3,16640.0,2649052.13
1525219200.0,2018-05-02,LTCUSD,149.21,155,146.11,151.93,7551.07,1131402.6
1525132800.0,2018-05-01,LTCUSD,148.43,149.21,142.8,149.21,5273.85,766346.25
1525046400.0,2018-04-30,LTCUSD,154,154.5,146.4,148.43,5209.59,784843.2
1524960000.0,2018-04-29,LTCUSD,152.54,156.48,148,154,13404.44,2043820.43
1524873600.0,2018-04-28,LTCUSD,145.5,153.8,145.09,152.54,6499.41,977028.68
1524787200.0,2018-04-27,LTCUSD,154.02,154.02,145.13,145.5,13177.67,1962071.06
1524700800.0,2018-04-26,LTCUSD,145.46,154.5,141.5,154.02,10050.98,1475925.09
1524614400.0,2018-04-25,LTCUSD,164,164.82,142.5,145.46,30299.29,4576399.7
1524528000.0,2018-04-24,LTCUSD,152.67,166,152.67,164,21522.11,3464385.86
1524441600.0,2018-04-23,LTCUSD,146.6,153.81,146.6,152.67,10773.18,1626401.61
1524355200.0,2018-04-22,LTCUSD,148.03,153.2,144.25,146.6,7602.92,1131935.57
1524268800.0,2018-04-21,LTCUSD,155.8,157,140.4,148.03,21940.33,3275504.13
1524182400.0,2018-04-20,LTCUSD,146.1,156.1,142,155.8,13308.41,1982309.07
1524096000.0,2018-04-19,LTCUSD,140.5,147.5,138.56,146.1,10964.86,1571709.84
1524009600.0,2018-04-18,LTCUSD,131.54,142.25,131.54,140.5,12664.99,1738802.45
1523923200.0,2018-04-17,LTCUSD,128.4,140.6,128.4,131.54,30848.2,4154563.14
1523836800.0,2018-04-16,LTCUSD,132.7,133.88,124.93,128.4,13157.64,1682523.18
1523750400.0,2018-04-15,LTCUSD,126.39,133.41,125.7,132.7,8894.41,1162838.27
1523664000.0,2018-04-14,LTCUSD,125,130,124.22,126.39,9062.91,1149052.52
1523577600.0,2018-04-13,LTCUSD,130,134.18,124,125,24486.62,3155121.96
1523491200.0,2018-04-12,LTCUSD,118,130.78,112.68,130,33826.42,4123597.46
1523404800.0,2018-04-11,LTCUSD,114.06,120,112.68,118,4664.62,538976.37
1523318400.0,2018-04-10,LTCUSD,114.83,115,111.6,114.06,4541.18,517254.85
1523232000.0,2018-04-09,LTCUSD,117.8,122.9,112.45,114.83,10959.0,1281947.74
1523145600.0,2018-04-08,LTCUSD,115.31,118.94,115.2,117.8,4638.2,544131.39
1523059200.0,2018-04-07,LTCUSD,113,119.81,112.01,115.31,6521.16,763628.38
1522972800.0,2018-04-06,LTCUSD,118.3,120,111.59,113,9196.45,1050565.89
1522886400.0,2018-04-05,LTCUSD,118.73,122.64,113.59,118.3,7830.49,925417.17
1522800000.0,2018-04-04,LTCUSD,134,134.67,114.88,118.73,18128.39,2221504.86
1522713600.0,2018-04-03,LTCUSD,119.24,136.4,118,134,12882.47,1654019.38
1522627200.0,2018-04-02,LTCUSD,114.46,121.5,114.04,119.24,9922.23,1173748.58
1522540800.0,2018-04-01,LTCUSD,116.76,117.99,108.83,114.46,10399.23,1173113.31
1522454400.0,2018-03-31,LTCUSD,118.5,124.3,115.5,116.76,9269.62,1107965.08
1522368000.0,2018-03-30,LTCUSD,115.07,125.9,108.85,118.5,25767.24,3000680.94
1522281600.0,2018-03-29,LTCUSD,130.58,132.24,111.26,115.07,24929.24,2995227.49
1522195200.0,2018-03-28,LTCUSD,134.9,140.21,130,130.58,12289.1,1650497.5
1522108800.0,2018-03-27,LTCUSD,147.83,149.7,134.9,134.9,14027.56,1972937.46
1522022400.0,2018-03-26,LTCUSD,160.5,161.21,141.5,147.83,13995.34,2090769.9
1521936000.0,2018-03-25,LTCUSD,158.92,163,157,160.5,3860.15,614813.56
1521849600.0,2018-03-24,LTCUSD,168.03,169.51,158,158.92,7023.29,1147995.97
1521763200.0,2018-03-23,LTCUSD,163,169,155.5,168.03,11051.98,1779498.56
1521676800.0,2018-03-22,LTCUSD,168.1,173,160,163,12399.93,2042720.92
1521590400.0,2018-03-21,LTCUSD,168.02,176,165,168.1,13662.58,2338663.0
1521504000.0,2018-03-20,LTCUSD,161.35,173.33,155.59,168.02,16975.48,2804583.23
1521417600.0,2018-03-19,LTCUSD,154.37,163.55,150.58,161.35,16361.81,2566977.88
1521331200.0,2018-03-18,LTCUSD,151.9,157.74,136,154.37,31590.32,4596892.97
